iteration	vector	severity	owasp	stride	confidence	location	description	status
0	baseline	-	-	-	-	-	Previous audit: 14 findings (3C 4H 5M 2L), score 6.5/10	-
1	auth-passwords	-	A02	Spoofing	Confirmed	app.py:112-132	C1 SHA-256→bcrypt: FIXED. C2 SECRET_KEY fallback: FIXED	Fixed
1	auth-rate-limit	-	A07	Spoofing	Confirmed	app.py:885,935	H1 rate limit login: FIXED. H2 setup gate: FIXED	Fixed
1	auth-session	-	A07	Spoofing	Confirmed	app.py:908,954	M1 password 8 chars: FIXED. M2 session 7 days: FIXED	Fixed
2	webhook-hmac	Critical	A08	Tampering	Confirmed	app.py:2749-2760	C3 webhook no HMAC — RECURRING but mitigated by auth middleware	Recurring
2	proxy-validation	High	A10	Tampering	Confirmed	app.py:2730-2747	H3 arbitrary JSON proxy — RECURRING, behind auth	Recurring
2	proxy-leak	Medium	A05	InfoDisc	Likely	app.py:2744	NEW: response.text[:300] leaked on Doverka HTTP error	New
3	error-messages	-	A05	InfoDisc	Confirmed	app.py:multiple	M3 str(e) removed from all public responses: FIXED	Fixed
3	kyc-photo-auth	-	A01	InfoDisc	Confirmed	app.py:2964	H4 KYC photo now requires session: FIXED	Fixed
3	cors-upload	-	A05	DoS	Confirmed	app.py:27-28	M4 CORS whitelist + M5 MAX_CONTENT_LENGTH: FIXED	Fixed
4	rbac	Low	A01	EoP	Confirmed	app.py:109	L1 role field unused — RECURRING	Recurring
4	audit-log	Low	A09	Repud	Confirmed	-	L2 no audit log — RECURRING	Recurring
5	summary	-	-	-	-	-	Final: 5 findings (1C 1H 1M 2L), score 3.5/10. Fixed 10/14	-
